,run_name,frequency,frequency error,SAW speed,thermal diffusivity,thermal diffusivity error,acoustic damping,acoustic damping error,A,A error,beta,beta error,B,B error,theta,theta error,C,C error
0,Tungsten_Calibration-2024-04-04-07.6 um-spot10-POS-1.txt,354898068.5948153,2563.3548537684624,2697.2253213205963,6.573339558296415e-05,1.3920142136503131e-06,4.489059626249043e-08,6.865884239390264e-10,0.06227663582805941,0.006812678827839008,1.4828970986859579e-05,3.8715538378495474e-06,0.007161411259280289,8.838526575559056e-05,-3.1181060328423653,0.007746001065097818,-0.00020127480735665753,1.5867361191696902e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot11-POS-1.txt,354832880.04588574,2707.8263504509705,2696.7298883487315,7.579607745830728e-05,1.0927615478384715e-06,3.464441172010874e-08,3.658351587304953e-10,0.12202855754436641,0.007082490745764648,3.261072582173515e-05,8.890905518469531e-07,0.00993036311175166,8.821571112987373e-05,-2.2703931121498067,0.00555023089333484,-0.00036519146596281863,1.238089270707047e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot12-POS-1.txt,354966824.7800132,3095.0956915465345,2697.7478683281,6.289285420551903e-05,1.3656718275164342e-06,4.393709130596107e-08,6.834996750226981e-10,0.055181531181555235,0.006021632205505317,1.2628909426180287e-05,4.139708951737467e-06,0.007192196051571357,8.996923122516799e-05,-2.287702641165695,0.007912880702124259,-0.00046245920296922067,1.6434025760762622e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot13-POS-1.txt,354507804.9817615,2620.3209680941695,2694.259317861387,7.19400445262079e-05,1.1395722705628302e-06,3.4974185634346444e-08,3.9794933575971606e-10,0.10711136754908385,0.006779204242527391,3.121855108158045e-05,1.0978125953194152e-06,0.009947926730514837,9.467842536897524e-05,-1.8823110100780918,0.005979122393001024,-0.00028140873682473385,1.375024283638122e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot14-POS-1.txt,355195276.2956886,2249.059505438078,2699.484099847233,7.31730445884793e-05,1.097229560835686e-06,3.53818508753841e-08,3.8959527838687295e-10,0.11898631418105728,0.007286505767228342,3.142265506165751e-05,1.0463963428760332e-06,0.0102474462322649,9.472049597338949e-05,-2.4255010559045833,0.005781544759633883,-0.0002607477196713218,1.3662768543912815e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot15-POS-1.txt,354857896.62646115,2379.416413067492,2696.920014361104,7.706292670833229e-05,1.0228518373425305e-06,3.3874943277251277e-08,3.4697062994211205e-10,0.15072113355929356,0.007301108272424736,3.5406172023804136e-05,5.759473026786425e-07,0.011257258913518932,9.611528911600276e-05,-1.1944124241106497,0.005374587440002854,-0.0003393998755845406,1.3450846749363878e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot16-POS-1.txt,354901004.4702301,2566.693421829358,2697.2476339737486,6.854469340239608e-05,3.64703511004897e-06,5.005014970033107e-09,nan,0.06832179507203577,0.020686752657912158,1.1081255117202318e-05,1.1696243129567309e-05,3.137355975528813e-07,0.002647676074475598,-4.17947381509346,8434.795854465208,6.70874063014299e-05,4.2474395889092206e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot17-POS-1.txt,354951958.3687184,2685.8173409749497,2697.6348836022594,7.055845940021815e-05,1.1113733268016592e-06,3.5410741929374475e-08,4.166871478827734e-10,0.10468350023421324,0.006576390117445055,3.074619022221792e-05,1.1363494274290784e-06,0.00965637501496673,9.494885408366932e-05,-2.138272750151025,0.0061563830550916965,-0.00042158598173093275,1.3996419159093373e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot18-POS-1.txt,355258464.6342093,2654.860008249882,2699.96433121999,6.711882891688087e-05,1.6850722543151222e-06,4.6337038392308384e-08,8.69774683446832e-10,0.06813767881044543,0.009191281667734346,1.2692232805098881e-05,5.006601980972441e-06,0.007517485016356847,0.0001126092709284026,-2.552797874071724,0.009496663756217272,-0.00036524151906751925,2.0663050737025043e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot19-POS-1.txt,354775244.4060511,2237.3683539467224,2696.291857485988,7.193798780293694e-05,1.0108930986380929e-06,3.6372333620614985e-08,3.896685608685063e-10,0.11173788501204723,0.006450813970760222,3.0643696872564304e-05,1.0448799336236364e-06,0.009514622492128061,8.518388730058713e-05,-2.5657661876081566,0.005592900190957595,4.675618519209744e-05,1.2625908311094936e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot20-POS-1.txt,354605193.2376318,2385.1113514772314,2694.9994686060013,6.819250728638319e-05,1.1816509326257273e-06,3.3943095552402677e-08,3.8331804565524094e-10,0.09301781211485356,0.006811742150021845,2.9197022667159777e-05,1.5150333495244426e-06,0.010434290450269394,0.00010085571731024371,2.941610301051542,0.005983005227280902,-0.00022137602984308773,1.4206265783124993e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot21-POS-1.txt,354336110.0674452,2807.2789675370745,2692.9544365125835,7.145648105131768e-05,1.0734492900568542e-06,3.5369561112617114e-08,4.2862058363936165e-10,0.11570199870075777,0.007248817150911115,3.092658045988613e-05,1.1403183222766758e-06,0.009265694902631525,9.484141376104888e-05,-2.8452524732561777,0.006400666847597991,-0.0003349057099477646,1.3676896561919902e-05
0,Tungsten_Calibration-2024-04-04-07.6 um-spot22-POS-1.txt,354401036.8166266,2300.3272655586215,2693.447879806362,6.898250060405482e-05,1.2709288666147006e-06,3.548286801654345e-08,4.267742431831147e-10,0.08604640800480275,0.0072918365531377885,2.5813457234349702e-05,2.0382810857431125e-06,0.009641108365859668,9.873104107876052e-05,2.678656220983583,0.006356253985964955,0.0001017000394417304,1.4279863655562733e-05
